iter	Passed	Remaining
0	14	9068
1	28	8875
2	42	8775
3	57	8800
4	70	8668
5	84	8602
6	98	8593
7	113	8589
8	130	8832
9	145	8794
10	159	8799
11	174	8800
12	189	8781
13	203	8730
14	217	8732
15	232	8711
16	246	8700
17	261	8690
18	276	8690
19	290	8670
20	304	8640
21	320	8641
22	334	8614
23	348	8597
24	362	8567
25	376	8554
26	391	8545
27	407	8567
28	422	8547
29	436	8523
30	451	8524
31	466	8505
32	480	8490
33	495	8483
34	508	8445
35	524	8448
36	537	8414
37	552	8400
38	567	8402
39	583	8396
40	598	8392
41	613	8380
42	627	8358
43	644	8378
44	658	8360
45	673	8350
46	688	8335
47	703	8330
48	718	8312
49	733	8305
50	749	8302
51	764	8289
52	779	8278
53	794	8263
54	808	8249
55	823	8236
56	838	8220
57	852	8204
58	866	8184
59	881	8168
60	896	8158
61	911	8147
62	926	8133
63	941	8123
64	957	8114
65	972	8104
66	987	8092
67	1001	8073
68	1016	8058
69	1031	8046
70	1046	8032
71	1061	8019
72	1074	7990
73	1090	7984
74	1108	7993
75	1125	7998
76	1145	8016
77	1164	8029
78	1180	8026
79	1201	8047
80	1217	8044
81	1233	8034
82	1250	8030
83	1267	8028
84	1284	8021
85	1300	8013
86	1320	8031
87	1331	7987
88	1344	7963
89	1360	7951
90	1374	7931
91	1389	7914
92	1404	7898
93	1419	7881
94	1435	7870
95	1449	7851
96	1464	7834
97	1476	7806
98	1492	7795
99	1507	7780
100	1522	7765
101	1537	7749
102	1553	7737
103	1568	7719
104	1583	7706
105	1600	7700
106	1615	7682
107	1629	7665
108	1639	7627
109	1648	7580
110	1657	7543
111	1667	7505
112	1676	7461
113	1691	7447
114	1701	7412
115	1711	7375
116	1719	7332
117	1729	7297
118	1744	7284
119	1758	7268
120	1772	7252
121	1787	7236
122	1800	7218
123	1814	7201
124	1829	7186
125	1843	7167
126	1857	7150
127	1871	7136
128	1886	7120
129	1902	7113
130	1916	7096
131	1931	7083
132	1947	7072
133	1961	7057
134	1976	7043
135	1991	7028
136	2001	6997
137	2015	6980
138	2030	6967
139	2045	6954
140	2060	6940
141	2074	6925
142	2088	6909
143	2104	6899
144	2120	6887
145	2134	6871
146	2148	6854
147	2162	6837
148	2177	6824
149	2188	6798
150	2202	6781
151	2216	6765
152	2230	6749
153	2245	6736
154	2259	6720
155	2273	6704
156	2288	6690
157	2303	6676
158	2317	6660
159	2331	6645
160	2347	6634
161	2362	6619
162	2376	6605
163	2391	6590
164	2405	6573
165	2419	6558
166	2427	6527
167	2443	6515
168	2457	6500
169	2467	6473
170	2481	6458
171	2497	6447
172	2506	6419
173	2516	6393
174	2531	6378
175	2546	6366
176	2556	6340
177	2565	6311
178	2579	6298
179	2594	6284
180	2609	6270
181	2623	6255
182	2637	6240
183	2646	6214
184	2655	6187
185	2665	6162
186	2674	6135
187	2689	6122
188	2703	6107
189	2711	6079
190	2725	6064
191	2740	6051
192	2754	6037
193	2771	6028
194	2781	6005
195	2789	5978
196	2799	5954
197	2810	5932
198	2818	5906
199	2833	5894
200	2844	5872
201	2858	5859
202	2874	5847
203	2889	5835
204	2904	5823
205	2918	5809
206	2934	5797
207	2948	5782
208	2965	5774
209	2982	5765
210	2999	5756
211	3015	5747
212	3032	5737
213	3043	5718
214	3059	5706
215	3077	5698
216	3092	5686
217	3109	5676
218	3126	5667
219	3140	5652
220	3155	5640
221	3170	5626
222	3184	5612
223	3200	5600
224	3215	5587
225	3232	5577
226	3247	5565
227	3262	5552
228	3276	5537
229	3291	5523
230	3306	5510
231	3319	5495
232	3330	5475
233	3340	5452
234	3349	5430
235	3359	5410
236	3375	5398
237	3390	5384
238	3404	5370
239	3420	5358
240	3434	5344
241	3442	5320
242	3451	5298
243	3466	5285
244	3481	5271
245	3491	5251
246	3506	5238
247	3520	5223
248	3529	5202
249	3538	5181
250	3547	5159
251	3556	5136
252	3571	5124
253	3581	5103
254	3589	5081
255	3604	5068
256	3618	5054
257	3632	5040
258	3646	5026
259	3657	5008
260	3665	4986
261	3682	4976
262	3699	4965
263	3712	4950
264	3721	4929
265	3730	4908
266	3745	4895
267	3760	4882
268	3774	4868
269	3787	4853
270	3802	4841
271	3819	4830
272	3834	4818
273	3848	4803
274	3863	4790
275	3876	4775
276	3890	4761
277	3905	4747
278	3915	4729
279	3931	4717
280	3948	4706
281	3962	4693
282	3976	4679
283	3988	4663
284	3998	4643
285	4008	4624
286	4022	4611
287	4036	4597
288	4046	4579
289	4062	4566
290	4076	4552
291	4092	4541
292	4107	4528
293	4121	4514
294	4136	4501
295	4152	4489
296	4168	4477
297	4183	4464
298	4198	4450
299	4211	4436
300	4226	4422
301	4239	4407
302	4253	4393
303	4267	4380
304	4283	4367
305	4298	4354
